language,total,positive,negative,positive_pct,steam_purchase,received_free,refunded
brazilian,4633,3646,987,78.7,3317,344,36
bulgarian,5,4,1,80.0,4,0,0
czech,272,192,80,70.6,195,10,1
danish,65,50,15,76.9,47,1,0
dutch,90,60,30,66.7,67,3,1
english,20456,14127,6329,69.1,16068,800,162
finnish,36,29,7,80.6,27,0,0
french,2479,1581,898,63.8,1383,88,5
german,1583,1079,504,68.2,1079,48,4
greek,45,31,14,68.9,35,1,0
hungarian,70,49,21,70.0,38,2,1
indonesian,11,7,4,63.6,9,3,0
italian,901,630,271,69.9,457,30,1
japanese,304,210,94,69.1,283,12,3
koreana,441,270,171,61.2,371,26,12
latam,813,526,287,64.7,619,89,7
norwegian,44,36,8,81.8,38,0,0
polish,1294,983,311,76.0,1026,56,7
portuguese,379,292,87,77.0,204,28,1
romanian,46,40,6,87.0,33,5,0
russian,6942,4207,2735,60.6,4964,505,87
schinese,635,341,294,53.7,486,16,11
spanish,4087,2785,1302,68.1,2775,334,10
swedish,71,58,13,81.7,59,4,2
tchinese,230,124,106,53.9,210,3,4
thai,98,63,35,64.3,88,8,2
turkish,3485,2508,977,72.0,2873,293,49
ukrainian,205,129,76,62.9,162,19,3
vietnamese,15,12,3,80.0,15,0,1
