gpu,count,pct
NVIDIA GeForce RTX 5070 Ti,22,5.5
NVIDIA GeForce RTX 5070,21,5.2
NVIDIA GeForce RTX 4060,21,5.2
NVIDIA GeForce RTX 4060 Ti,17,4.2
NVIDIA GeForce RTX 3060,17,4.2
NVIDIA GeForce RTX 5080,15,3.7
AMD Radeon RX 9060 XT,14,3.5
NVIDIA GeForce RTX 3060 Ti,13,3.2
NVIDIA GeForce RTX 5060,13,3.2
NVIDIA GeForce RTX 4070 SUPER,12,3.0
NVIDIA GeForce RTX 3050,11,2.7
AMD Radeon RX 6600,11,2.7
NVIDIA GeForce GTX 1650,10,2.5
NVIDIA GeForce RTX 4090,8,2.0
NVIDIA GeForce GTX 1660 SUPER,8,2.0
NVIDIA GeForce RTX 4070,8,2.0
NVIDIA GeForce RTX 3080,8,2.0
NVIDIA GeForce RTX 3070,8,2.0
NVIDIA GeForce RTX 4060 Laptop GPU,8,2.0
AMD Radeon RX 6700 XT,7,1.7
