cpu,count,pct
AMD Ryzen 7 5700X 8-Core Processor,23,5.5
12th Gen Intel(R) Core(TM) i5-12400F,20,4.8
AMD Ryzen 7 9800X3D 8-Core Processor,20,4.8
AMD Ryzen 7 7800X3D 8-Core Processor,20,4.8
AMD Ryzen 5 5600 6-Core Processor,18,4.3
AMD Ryzen 5 3600 6-Core Processor,12,2.9
AMD Ryzen 5 5600G with Radeon Graphics,11,2.6
AMD Ryzen 5 7500F 6-Core Processor,11,2.6
AMD Ryzen 5 5600X 6-Core Processor,11,2.6
AMD Ryzen 7 5700X3D 8-Core Processor,10,2.4
AMD Ryzen 7 7700 8-Core Processor,9,2.2
AMD Ryzen 7 5800X 8-Core Processor,9,2.2
AMD Ryzen 5 7600X 6-Core Processor,8,1.9
Intel(R) Core(TM) i5-10400F CPU @ 2.90GHz,7,1.7
Intel(R) Core(TM) i5-14600KF,7,1.7
Intel(R) Core(TM) i5-14400F,7,1.7
12th Gen Intel(R) Core(TM) i7-12700K,6,1.4
AMD Ryzen 9 5900X 12-Core Processor,6,1.4
AMD Ryzen 5 5500,6,1.4
13th Gen Intel(R) Core(TM) i7-13700KF,5,1.2
