name,unlock_pct
Save_01,88.9
Goal_01,87.5
Customization,86.6
Match_FirstWin,86.1
Assist_01,85.9
Match_CleanSheet,76.6
Party,74.2
Assist_Equalizer,72.5
Match_MVP,70.6
Polyvalent,68.6
Prologue,64.8
Shop_01,61.7
Save_Overtime,57.2
Match_Ranked,56.0
Goal_HatTrick,55.7
Save_30,54.5
Marathon,54.1
Match_ConsecutiveWins,53.6
Progression_10,52.5
Goal_VolleyShoot,52.5
Assist_Rebound,51.4
Goal_Pinball,51.0
Workshop_Intro,50.5
Goal_30,47.9
Assist_Goalkeeper,41.3
Assist_30,41.2
Assist_NoLook,39.2
Match_Wins,37.8
Shop_15,34.3
Save_100,30.1
Progression_30,28.7
Goal_100,24.2
UltraTrail,24.0
Assist_100,18.1
Workshops_Bronze,16.8
Workshops_Gold,10.8
Rematch_AllTrophies,4.5
